ticker,name,sector,industry
UTHR,UNITED THERAPEUTICS CORP,Health Care,Biotechnology
NI,NISOURCE INC,Utilities,Multi-Utilities
FWONK,LIBERTY MEDIA FORMULA ONE SERIES C,Communication,Movies & Entertainment
PKG,PACKAGING CORP OF AMERICA,Materials,Paper & Plastic Packaging Products & Materials
INSM,INSMED INC,Health Care,Biotechnology
KEY,KEYCORP,Financials,Regional Banks
FTAI,FTAI AVIATION LTD,Industrials,Trading Companies & Distributors
LUV,SOUTHWEST AIRLINES,Industrials,Passenger Airlines
SNA,SNAP ON INC,Industrials,Industrial Machinery & Supplies & Components
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Personal Care Products
VTRS,VIATRIS INC,Health Care,Pharmaceuticals
RS,RELIANCE STEEL  ALUMINUM,Materials,Steel
GH,GUARDANT HEALTH INC,Health Care,Health Care Services
SOFI,SOFI TECHNOLOGIES INC,Financials,Consumer Finance
AMCR,AMCOR PLC,Materials,Paper & Plastic Packaging Products & Materials
BRO,BROWN  BROWN INC,Financials,Insurance Brokers
EFX,EQUIFAX INC,Industrials,Research & Consulting Services
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Cargo Ground Transportation
IFF,INTERNATIONAL FLAVORS  FRAGRANCES,Materials,Specialty Chemicals
RBA,RB GLOBAL INC,Industrials,Diversified Support Services
CPNG,COUPANG INC CLASS A,Consumer Discretionary,Broadline Retail
AFRM,AFFIRM HOLDINGS INC CLASS A,Financials,Consumer Finance
MRNA,MODERNA INC,Health Care,Biotechnology
MKSI,MKS,Information Technology,Semiconductor Materials & Equipment
INCY,INCYTE CORP,Health Care,Biotechnology
SNX,TD SYNNEX CORP,Information Technology,Technology Distributors
L,LOEWS CORP,Financials,Multi-line Insurance
HEIA,HEICO CORP CLASS A,Industrials,Aerospace & Defense
GPN,GLOBAL PAYMENTS INC,Financials,Transaction & Payment Processing Services
EVRG,EVERGY INC,Utilities,Electric Utilities
GIS,GENERAL MILLS INC,Consumer Staples,Packaged Foods & Meats
CF,CF INDUSTRIES HOLDINGS INC,Materials,Fertilizers & Agricultural Chemicals
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,Telecom Tower REITs
CDW,CDW CORP,Information Technology,Technology Distributors
RDDT,REDDIT INC CLASS A,Communication,Interactive Media & Services
DD,DUPONT DE NEMOURS INC,Materials,Specialty Chemicals
ROKU,ROKU INC CLASS A,Communication,Movies & Entertainment
BAM,BROOKFIELD ASSET MANAGEMENT VOTING,Financials,Asset Management & Custody Banks
LNT,ALLIANT ENERGY CORP,Utilities,Electric Utilities
VIK,VIKING HOLDINGS,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Multi-Family Residential REITs
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Health Care Equipment
FTV,FORTIVE CORP,Industrials,Industrial Machinery & Supplies & Components
ENTG,ENTEGRIS INC,Information Technology,Semiconductor Materials & Equipment
EWBC,EAST WEST BANCORP INC,Financials,Regional Banks
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,Distillers & Vintners
WY,WEYERHAEUSER REIT,Real Estate,Timber REITs
STRL,STERLING INFRASTRUCTURE INC,Industrials,Construction & Engineering
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Data Processing & Outsourced Services
OVV,OVINTIV INC,Energy,Oil & Gas Exploration & Production
MDLN,MEDLINE INC CLASS A,Health Care,Health Care Distributors
INVH,INVITATION HOMES INC,Real Estate,Single-Family Residential REITs
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,Air Freight & Logistics
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials,Regional Banks
ITT,ITT INC,Industrials,Industrial Machinery & Supplies & Components
HST,HOST HOTELS  RESORTS REIT INC,Real Estate,Hotel & Resort REITs
GPC,GENUINE PARTS,Consumer Discretionary,Distributors
BALL,BALL CORP,Materials,"Metal, Glass & Plastic Containers"
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples,Food Distributors
RBC,RBC BEARINGS INC,Industrials,Industrial Machinery & Supplies & Components
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,Semiconductors
IEX,IDEX CORP,Industrials,Industrial Machinery & Supplies & Components
LEN,LENNAR A CORP CLASS A,Consumer Discretionary,Homebuilding
KIM,KIMCO REALTY REIT CORP,Real Estate,Retail REITs
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Application Software
WCC,WESCO INTERNATIONAL INC,Industrials,Trading Companies & Distributors
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Oil & Gas Exploration & Production
RGLD,ROYAL GOLD INC,Materials,Gold
SCCO,SOUTHERN COPPER CORP,Materials,Diversified Metals & Mining
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,Semiconductors
BBY,BEST BUY INC,Consumer Discretionary,Computer & Electronics Retail
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Financials,Mortgage REITs
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Internet Services & Infrastructure
PTC,PTC INC,Information Technology,Application Software
ROIV,ROIVANT SCIENCES LTD,Health Care,Biotechnology
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,Biotechnology
WRB,WR BERKLEY CORP,Financials,Property & Casualty Insurance
MTZ,MASTEC INC,Industrials,Construction & Engineering
JLL,JONES LANG LASALLE INC,Real Estate,Real Estate Services
WPC,W. P. CAREY REIT INC,Real Estate,Diversified REITs
NVR,NVR INC,Consumer Discretionary,Homebuilding
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Other Specialty Retail
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,Data Processing & Outsourced Services
LYB,LYONDELLBASELL INDUSTRIES CLASS A,Materials,Specialty Chemicals
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Packaged Foods & Meats
SMCI,SUPER MICRO COMPUTER INC,Information Technology,"Technology Hardware, Storage & Peripherals"
CLH,CLEAN HARBORS INC,Industrials,Environmental & Facilities Services
ZS,ZSCALER INC,Information Technology,Systems Software
J,JACOBS SOLUTIONS INC,Industrials,Construction & Engineering
NDSN,NORDSON CORP,Industrials,Industrial Machinery & Supplies & Components
RGA,REINSURANCE GROUP OF AMERICA INC,Financials,Life & Health Insurance
FN,FABRINET,Information Technology,Electronic Manufacturing Services
PNFP,PINNACLE FINANCIAL PARTNERS INC,Financials,Regional Banks
TOST,TOAST INC CLASS A,Financials,Transaction & Payment Processing Services
BWXT,BWX TECHNOLOGIES INC,Industrials,Aerospace & Defense
TRU,TRANSUNION,Industrials,Financial Exchanges & Data
CDE,COEUR MINING INC,Materials,Gold
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,Multi-Family Residential REITs
SUI,SUN COMMUNITIES REIT INC,Real Estate,Residential REITs
TLN,TALEN ENERGY CORP,Utilities,Independent Power Producers & Energy Traders
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Health Care REITs
FDXF,FEDEX FREIGHT HOLDING COMPANY INC,Industrials,Cargo Ground Transportation
NTNX,NUTANIX INC CLASS A,Information Technology,Application Software
HEI,HEICO CORP,Industrials,Aerospace & Defense
APG,API GROUP CORP,Industrials,Construction & Engineering
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Real Estate,Health Care REITs
ASTS,AST SPACEMOBILE INC CLASS A,Communication,Wireless Telecommunication Services
GEN,GEN DIGITAL INC,Information Technology,Systems Software
JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,Biotechnology
ARMK,ARAMARK,Consumer Discretionary,Restaurants
FLUT,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Casinos & Gaming
EG,EVEREST GROUP LTD,Financials,Reinsurance
SWK,STANLEY BLACK  DECKER INC,Industrials,Industrial Machinery & Supplies & Components
TXT,TEXTRON INC,Industrials,Aerospace & Defense
REG,REGENCY CENTERS REIT CORP,Real Estate,Retail REITs
MLI,MUELLER INDUSTRIES INC,Industrials,Copper
CSL,CARLISLE COMPANIES INC,Industrials,Building Products
MAS,MASCO CORP,Industrials,Building Products
LDOS,LEIDOS HOLDINGS INC,Industrials,Diversified Support Services
GL,GLOBE LIFE INC,Financials,Life & Health Insurance
BG,BUNGE GLOBAL SA,Consumer Staples,Agricultural Products & Services
RL,RALPH LAUREN CORP CLASS A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
DINO,HF SINCLAIR CORP,Energy,Oil & Gas Refining & Marketing
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Electronic Equipment & Instruments
IONQ,IONQ INC,Information Technology,"Technology Hardware, Storage & Peripherals"
COO,COOPER INC,Health Care,Health Care Supplies
DTM,DT MIDSTREAM INC,Energy,Oil & Gas Storage & Transportation
AIZ,ASSURANT INC,Financials,Multi-line Insurance
LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,Industrial Machinery & Supplies & Components
ALB,ALBEMARLE CORP,Materials,Specialty Chemicals
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,Restaurants
TOL,TOLL BROTHERS INC,Consumer Discretionary,Homebuilding
RRX,REGAL REXNORD CORP,Industrials,Electrical Components & Equipment
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Footwear
LAMR,LAMAR ADVERTISING COMPANY CLAS,Real Estate,Specialized REITs
UNM,UNUM,Financials,Life & Health Insurance
RPM,RPM INTERNATIONAL INC,Materials,Specialty Chemicals
RIVN,RIVIAN AUTOMOTIVE INC CLASS A,Consumer Discretionary,Automobile Manufacturers
BBIO,BRIDGEBIO PHARMA INC,Health Care,Biotechnology
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Casinos & Gaming
RNR,RENAISSANCERE HOLDING LTD,Financials,Property & Casualty Insurance
ALLE,ALLEGION PLC,Industrials,Building Products
SN,SHARKNINJA INC,Consumer Discretionary,Household Appliances
BAX,BAXTER INTERNATIONAL INC,Health Care,Health Care Equipment
EQH,EQUITABLE HOLDINGS INC,Financials,Life & Health Insurance
MEDP,MEDPACE HOLDINGS INC,Health Care,Life Sciences Tools & Services
LII,LENNOX INTERNATIONAL INC,Industrials,Building Products
NXT,NEXTPOWER INC CLASS A,Industrials,Semiconductors
SGI,SOMNIGROUP INTERNATIONAL INC,Consumer Discretionary,Home Furnishings
AVY,AVERY DENNISON CORP,Materials,Paper & Plastic Packaging Products & Materials
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,Title Insurance
HAS,HASBRO INC,Consumer Discretionary,Leisure Products
GGG,GRACO INC,Industrials,Industrial Machinery & Supplies & Components
EXEL,EXELIXIS INC,Health Care,Biotechnology
DT,DYNATRACE INC,Information Technology,Application Software
APA,APA CORP,Energy,Oil & Gas Exploration & Production
CCK,CROWN HOLDINGS INC,Materials,Paper & Plastic Packaging Products & Materials
TRMB,TRIMBLE INC,Information Technology,Application Software
BWA,BORGWARNER INC,Consumer Discretionary,Automotive Parts & Equipment
TYL,TYLER TECHNOLOGIES INC,Information Technology,Application Software
MKC,MCCORMICK  CO NON-VOTING INC,Consumer Staples,Packaged Foods & Meats
ELAN,ELANCO ANIMAL HEALTH INC,Health Care,Biotechnology
GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,Application Software
IOT,SAMSARA INC CLASS A,Information Technology,Application Software
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,Aerospace & Defense
ONTO,ONTO INNOVATION INC,Information Technology,Semiconductors
SOLV,SOLVENTUM CORP,Health Care,Health Care Technology
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Trading Companies & Distributors
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Consumer Staples Merchandise Retail
RVTY,REVVITY INC,Health Care,Health Care Equipment
QXO,QXO INC,Industrials,Trading Companies & Distributors
DKS,DICKS SPORTING INC,Consumer Discretionary,Other Specialty Retail
WBS,WEBSTER FINANCIAL CORP,Financials,Regional Banks
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,Residential REITs
SF,STIFEL FINANCIAL CORP,Financials,Investment Banking & Brokerage
UDR,UDR REIT INC,Real Estate,Multi-Family Residential REITs
SJM,JM SMUCKER,Consumer Staples,Packaged Foods & Meats
GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate,Specialized REITs
RKT,ROCKET COMPANIES INC CLASS A,Financials,Thrifts & Mortgage Finance
PEN,PENUMBRA INC,Health Care,Health Care Equipment
ASND,ASCENDIS PHARMA,Health Care,Biotechnology
HUBS,HUBSPOT INC,Information Technology,Application Software
FHN,FIRST HORIZON CORP,Financials,Regional Banks
PNW,PINNACLE WEST CORP,Utilities,Multi-Utilities
CG,CARLYLE GROUP INC,Financials,Asset Management & Custody Banks
ALLY,ALLY FINANCIAL INC,Financials,Consumer Finance
APTV,APTIV PLC,Consumer Discretionary,Automotive Parts & Equipment
FIVE,FIVE BELOW INC,Consumer Discretionary,Other Specialty Retail
DY,DYCOM INDUSTRIES INC,Industrials,Construction & Engineering
AGNC,AGNC INVESTMENT REIT CORP,Financials,Mortgage REITs
SITM,SITIME CORP,Information Technology,Semiconductors
IREN,IREN LTD,Information Technology,Internet Services & Infrastructure
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TW,TRADEWEB MARKETS INC CLASS A,Financials,Investment Banking & Brokerage
AA,ALCOA CORP,Materials,Aluminum
TTMI,TTM TECHNOLOGIES INC,Information Technology,Electronic Manufacturing Services
PINS,PINTEREST INC CLASS A,Communication,Interactive Media & Services
PODD,INSULET CORP,Health Care,Health Care Equipment
EVR,EVERCORE INC CLASS A,Financials,Investment Banking & Brokerage
CSGP,COSTAR GROUP INC,Real Estate,Real Estate Services
FOXA,FOX CORP CLASS A,Communication,Broadcasting
ECHO,ECHOSTAR CORP CLASS A,Communication,Wireless Telecommunication Services
SCI,SERVICE,Consumer Discretionary,Specialized Consumer Services
NYT,NEW YORK TIMES CLASS A,Communication,Publishing
TECH,BIO TECHNE CORP,Health Care,Life Sciences Tools & Services
CLX,CLOROX,Consumer Staples,Household Products
MANH,MANHATTAN ASSOCIATES INC,Information Technology,Application Software
ROL,ROLLINS INC,Industrials,Environmental & Facilities Services
GNRC,GENERAC HOLDINGS INC,Industrials,Heavy Electrical Equipment
U,UNITY SOFTWARE INC,Information Technology,Application Software
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Biotechnology
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Transaction & Payment Processing Services
WTRG,ESSENTIAL UTILITIES INC,Utilities,Water Utilities
AMH,AMERICAN HOMES RENT REIT CLASS A,Real Estate,Single-Family Residential REITs
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Life Sciences Tools & Services
BPOP,POPULAR INC,Financials,Regional Banks
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Cable & Satellite
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,Biotechnology
DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary,Casinos & Gaming
ALGN,ALIGN TECHNOLOGY INC,Health Care,Health Care Supplies
TKO,TKO GROUP HOLDINGS INC CLASS A,Communication,Movies & Entertainment
RBRK,RUBRIK INC CLASS A,Information Technology,Systems Software
CRCL,CIRCLE INTERNET GROUP INC CLASS A,Information Technology,Transaction & Payment Processing Services
OC,OWENS CORNING,Industrials,Building Products
BXP,BXP INC,Real Estate,Office REITs
ARW,ARROW ELECTRONICS INC,Information Technology,Technology Distributors
DCI,DONALDSON INC,Industrials,Industrial Machinery & Supplies & Components
CACI,CACI INTERNATIONAL INC CLASS A,Industrials,IT Consulting & Other Services
EHC,ENCOMPASS HEALTH CORP,Health Care,Health Care Facilities
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,Industrial REITs
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Electronic Equipment & Instruments
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,Multi-Family Residential REITs
SMTC,SEMTECH CORP,Information Technology,Semiconductors
GDDY,GODADDY INC CLASS A,Information Technology,Internet Services & Infrastructure
CGNX,COGNEX CORP,Information Technology,Electronic Equipment & Instruments
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials,Cargo Ground Transportation
CORT,CORCEPT THERAPEUTICS INC,Health Care,Biotechnology
WSO,WATSCO INC,Industrials,Trading Companies & Distributors
GFL,GFL ENVIRONMENTAL SUBORDINATE VOTI,Industrials,Environmental & Facilities Services
COKE,COCA COLA CONSOLIDATED INC,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
LFUS,LITTELFUSE INC,Information Technology,Electronic Components
SPXC,SPX TECHNOLOGIES INC,Industrials,Industrial Machinery & Supplies & Components
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,Retail REITs
WTFC,WINTRUST FINANCIAL CORP,Financials,Regional Banks
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,Health Care REITs
DOCU,DOCUSIGN INC,Information Technology,Application Software
IVZ,INVESCO LTD,Financials,Asset Management & Custody Banks
SEIC,SEI INVESTMENTS,Financials,Investment Banking & Brokerage
AR,ANTERO RESOURCES CORP,Energy,Oil & Gas Exploration & Production
MOD,MODINE MANUFACTURING,Industrials,Automotive Parts & Equipment
MUSA,MURPHY USA INC,Consumer Discretionary,Automotive Retail
PNR,PENTAIR,Industrials,Industrial Machinery & Supplies & Components
CR,CRANE,Industrials,Industrial Machinery & Supplies & Components
AES,AES CORP,Utilities,Independent Power Producers & Energy Traders
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Restaurants
NWSA,NEWS CORP CLASS A,Communication,Publishing
ZION,ZIONS BANCORPORATION,Financials,Regional Banks
AYI,ACUITY INC,Industrials,Electrical Components & Equipment
SSB,SOUTHSTATE BANK CORP,Financials,Regional Banks
AAL,AMERICAN AIRLINES GROUP INC,Industrials,Passenger Airlines
ENSG,ENSIGN GROUP INC,Health Care,Health Care Facilities
MOH,MOLINA HEALTHCARE INC,Health Care,Managed Health Care
PRI,PRIMERICA INC,Financials,Life & Health Insurance
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,Property & Casualty Insurance
IT,GARTNER INC,Information Technology,IT Consulting & Other Services
CFR,CULLEN FROST BANKERS INC,Financials,Regional Banks
WMS,ADVANCED DRAINAGE SYSTEMS INC,Industrials,Building Products
BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,Retail REITs
RMBS,RAMBUS INC,Information Technology,Semiconductors
BMNR,BITMINE IMMERSION TECHNOLOGIES INC,Information Technology,Internet Services & Infrastructure
OGE,OGE ENERGY CORP,Utilities,Electric Utilities
FLS,FLOWSERVE CORP,Industrials,Industrial Machinery & Supplies & Components
HALO,HALOZYME THERAPEUTICS INC,Health Care,Biotechnology
DAR,DARLING INGREDIENTS INC,Consumer Staples,Packaged Foods & Meats
SOLS,SOLSTICE ADVANCED MATERIALS INC,Materials,Specialty Chemicals
R,RYDER SYSTEM INC,Industrials,Passenger Ground Transportation
ALSN,ALLISON TRANSMISSION HOLDINGS INC,Industrials,Automotive Parts & Equipment
DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology,Internet Services & Infrastructure
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Financial Exchanges & Data
RRC,RANGE RESOURCES CORP,Energy,Oil & Gas Exploration & Production
SANM,SANMINA CORP,Information Technology,Electronic Manufacturing Services
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Industrial Machinery & Supplies & Components
AFG,AMERICAN FINANCIAL GROUP INC,Financials,Property & Casualty Insurance
AXSM,AXSOME THERAPEUTICS INC,Health Care,Biotechnology
MTCH,MATCH GROUP INC,Communication,Interactive Media & Services
AMG,AFFILIATED MANAGERS GROUP INC,Financials,Asset Management & Custody Banks
CUBE,CUBESMART REIT,Real Estate,Self-Storage REITs
ACM,AECOM,Industrials,Construction & Engineering
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Semiconductors
SAIA,SAIA INC,Industrials,Cargo Ground Transportation
VOYA,VOYA FINANCIAL INC,Financials,Life & Health Insurance
BEN,FRANKLIN RESOURCES INC,Financials,Asset Management & Custody Banks
AVTR,AVANTOR INC,Health Care,Life Sciences Tools & Services
VMI,VALMONT INDS INC,Industrials,Electrical Components & Equipment
CNH,CNH INDUSTRIAL N.V. NV,Industrials,Agricultural & Farm Machinery
COLB,COLUMBIA BANKING SYSTEM INC,Financials,Regional Banks
HL,HECLA MINING,Materials,Gold
GME,GAMESTOP CORP CLASS A,Consumer Discretionary,Computer & Electronics Retail
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Health Care Facilities
ADC,AGREE REALTY REIT CORP,Real Estate,Retail REITs
GMED,GLOBUS MEDICAL INC CLASS A,Health Care,Health Care Equipment
NNN,NNN REIT INC,Real Estate,Retail REITs
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Office REITs
OSK,OSHKOSH CORP,Industrials,Construction Machinery & Heavy Transportation Equipment
W,WAYFAIR INC CLASS A,Consumer Discretionary,Broadline Retail
TTEK,TETRA TECH INC,Industrials,Construction & Engineering
TTC,TORO,Industrials,Agricultural & Farm Machinery
WAL,WESTERN ALLIANCE,Financials,Regional Banks
LAD,LITHIA MOTORS INC CLASS A,Consumer Discretionary,Automotive Retail
TIGO,MILLICOM INTERNATIONAL CELLULAR SA,Communication,Integrated Telecommunication Services
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Aerospace & Defense
PB,PROSPERITY BANCSHARES INC,Financials,Regional Banks
TKR,TIMKEN,Industrials,Industrial Machinery & Supplies & Components
VIAV,VIAVI SOLUTIONS INC,Information Technology,Communications Equipment
QGEN,QIAGEN NV,Health Care,Biotechnology
IONS,IONIS PHARMACEUTICALS INC,Health Care,Biotechnology
REXR,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate,Industrial REITs
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,Research & Consulting Services
ATR,APTARGROUP INC,Materials,Health Care Supplies
HSIC,HENRY SCHEIN INC,Health Care,Health Care Distributors
JEF,JEFFERIES FINANCIAL GROUP INC,Financials,Investment Banking & Brokerage
VNOM,VIPER ENERGY INC CLASS A,Energy,Oil & Gas Exploration & Production
FR,FIRST INDUSTRIAL REALTY TRUST INC,Real Estate,Industrial REITs
ESI,ELEMENT SOLUTIONS INC,Materials,Specialty Chemicals
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,Biotechnology
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Casinos & Gaming
FORM,FORMFACTOR INC,Information Technology,Semiconductors
CNM,CORE  MAIN INC CLASS A,Industrials,Trading Companies & Distributors
KMX,CARMAX INC,Consumer Discretionary,Automotive Retail
LNC,LINCOLN NATIONAL CORP,Financials,Life & Health Insurance
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Food Retail
EMN,EASTMAN CHEMICAL,Materials,Specialty Chemicals
THG,HANOVER INSURANCE GROUP INC,Financials,Property & Casualty Insurance
ONON,ON HOLDING AG CLASS A,Consumer Discretionary,Footwear
UGI,UGI CORP,Utilities,Gas Utilities
CBSH,COMMERCE BANCSHARES INC,Financials,Regional Banks
CHRD,CHORD ENERGY CORP,Energy,Oil & Gas Exploration & Production
KNSL,KINSALE CAPITAL GROUP INC,Financials,Property & Casualty Insurance
AXTA,AXALTA COATING SYSTEMS LTD,Materials,Specialty Chemicals
NFG,NATIONAL FUEL GAS,Utilities,Gas Utilities
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,Property & Casualty Insurance
DVA,DAVITA INC,Health Care,Health Care Services
QRVO,QORVO INC,Information Technology,Semiconductors
BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,Restaurants
HXL,HEXCEL CORP,Industrials,Aerospace & Defense
CRBG,COREBRIDGE FINANCIAL INC,Financials,Life & Health Insurance
SSD,SIMPSON MANUFACTURING INC,Industrials,Building Products
IDA,IDACORP INC,Utilities,Electric Utilities
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Casinos & Gaming
AUR,AURORA INNOVATION INC CLASS A,Information Technology,Application Software
ETSY,ETSY INC,Consumer Discretionary,Broadline Retail
TTD,TRADE DESK INC CLASS A,Communication,Advertising
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Building Products
RAL,RALLIANT CORP,Information Technology,Electronic Equipment & Instruments
AM,ANTERO MIDSTREAM CORP,Energy,Oil & Gas Storage & Transportation
RGEN,REPLIGEN CORP,Health Care,Life Sciences Tools & Services
HRL,HORMEL FOODS CORP,Consumer Staples,Packaged Foods & Meats
OMF,ONEMAIN HOLDINGS INC,Financials,Consumer Finance
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,Title Insurance
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,Semiconductors
AVT,AVNET INC,Information Technology,Technology Distributors
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Packaged Foods & Meats
STAG,STAG INDUSTRIAL REIT INC,Real Estate,Industrial REITs
FOX,FOX CORP CLASS B,Communication,Broadcasting
GTES,GATES INDUSTRIAL PLC,Industrials,Industrial Machinery & Supplies & Components
MOS,MOSAIC,Materials,Fertilizers & Agricultural Chemicals
VNO,VORNADO REALTY TRUST REIT,Real Estate,Office REITs
ULS,UL SOLUTIONS INC CLASS A,Industrials,Research & Consulting Services
XP,XP CLASS A INC,Financials,Investment Banking & Brokerage
KEX,KIRBY CORP,Industrials,Marine Transportation
APLD,APPLIED DIGITAL CORP,Information Technology,Internet Services & Infrastructure
BRKR,BRUKER CORP,Health Care,Life Sciences Tools & Services
AOS,A O SMITH CORP,Industrials,Building Products
CAG,CONAGRA BRANDS INC,Consumer Staples,Packaged Foods & Meats
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Building Products
CHE,CHEMED CORP,Health Care,Health Care Services
PCOR,PROCORE TECHNOLOGIES INC,Information Technology,Application Software
HR,HEALTHCARE REALTY TRUST INC CLASS,Real Estate,Health Care REITs
NOV,NOV INC,Energy,Oil & Gas Equipment & Services
H,HYATT HOTELS CORP CLASS A,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MSA,MSA SAFETY INC,Industrials,Industrial Machinery & Supplies & Components
HLI,HOULIHAN LOKEY INC CLASS A,Financials,Investment Banking & Brokerage
CART,MAPLEBEAR INC,Consumer Staples,Consumer Staples Merchandise Retail
OWL,BLUE OWL CAPITAL INC CLASS A,Financials,Asset Management & Custody Banks
WEX,WEX INC,Financials,Transaction & Payment Processing Services
SARO,STANDARDAERO,Industrials,Aerospace & Defense
M,MACYS INC,Consumer Discretionary,General Merchandise Stores
PAYC,PAYCOM SOFTWARE INC,Industrials,Application Software
CRUS,CIRRUS LOGIC INC,Information Technology,Semiconductors
ST,SENSATA TECHNOLOGIES HOLDING PLC,Industrials,Electronic Equipment & Instruments
FNB,FNB CORP,Financials,Regional Banks
LEA,LEAR CORP,Consumer Discretionary,Automotive Parts & Equipment
RYN,RAYONIER REIT INC,Real Estate,Timber REITs
ECG,EVERUS CONSTRUCTION GROUP INC,Industrials,Construction & Engineering
CAVA,CAVA GROUP INC,Consumer Discretionary,Restaurants
AS,AMER SPORTS INC,Consumer Discretionary,Leisure Products
CLF,CLEVELAND CLIFFS INC,Materials,Steel
IESC,IES INC,Industrials,Construction & Engineering
EXP,EAGLE MATERIALS INC,Materials,Construction Materials
WULF,TERAWULF INC,Information Technology,Internet Services & Infrastructure
WFRD,WEATHERFORD INTERNATIONAL PLC,Energy,Oil & Gas Equipment & Services
INGR,INGREDION INC,Consumer Staples,Packaged Foods & Meats
